investigation_rank,work_id,state,constituency,final_ai_risk_score,final_ai_risk_level,risk_detection_confidence,active_risk_engines,available_risk_engines,primary_risk_source,detecting_engines,investigation_priority_score,investigation_priority_category,report_status,report_file,grounded_llm_investigation_report
1,WS/MP459/2025-2026/149089,Tamil Nadu,CHENNAI SOUTH,93.95,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP459_2025-2026_149089.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198757, Requested 1985. Please try again in 5m20.544s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
2,WS/MP18065/2026-2027/152353,Haryana,ROHTAK,91.77,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18065_2026-2027_152353.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198755, Requested 2126. Please try again in 6m20.592s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
3,WS/MP18009/2024-2025/154261,Andhra Pradesh,HINDUPUR,87.7,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18009_2024-2025_154261.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198754, Requested 2058. Please try again in 5m50.784s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
4,WS/MP18309/2024-2025/155212,Meghalaya,TURA,87.7,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18309_2024-2025_155212.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198753, Requested 1989. Please try again in 5m20.544s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
5,WS/MP18309/2024-2025/155216,Meghalaya,TURA,87.7,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18309_2024-2025_155216.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198752, Requested 2051. Please try again in 5m46.896s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
6,WS/MP243/2025-2026/141110,West Bengal,BARASAT,86.26,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP243_2025-2026_141110.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198750, Requested 1985. Please try again in 5m17.52s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
7,WS/MP391/2025-2026/146422,Tamil Nadu,CHENNAI CENTRAL,86.26,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP391_2025-2026_146422.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198749, Requested 2019. Please try again in 5m31.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
8,WS/MP18109/2024-2025/150121,Madhya Pradesh,SIDHI,85.05,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18109_2024-2025_150121.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198748, Requested 2117. Please try again in 6m13.68s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
9,WS/MP18355/2025-2026/158359,Karnataka,BANGALORE NORTH,84.76,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP18355_2025-2026_158359.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198746, Requested 2071. Please try again in 5m52.944s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
10,WS/MP643/2024-2025/146592,Madhya Pradesh,KHANDWA,84.7,CRITICAL,VERY HIGH,4,4,Multi-Engine Consensus,"ML Anomaly, Rule-Based, Financial, Statistical",100.0,P1 - IMMEDIATE REVIEW,FAILED,data/processed/investigation_reports\WS_MP643_2024-2025_146592.md,"LLM report generation failed.

Error: Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-20b` in organization `org_01m1btnxw2eyq9e3p2pyq4g6bv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198745, Requested 2047. Please try again in 5m42.144s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
